Catalogue Entry,Alternative Entries,Familiar Name,Right Ascension,Declination,Major Axis,Minor Axis,Magnitude,Name catalog,Name number,Type,Type Category,Constellation,Width ('),Height ('),Notes
IC 443,,Gem A,06:16:37.41,+22:31:54.0,50.0,40.0,,IC,443,Supernova remnant,nebulae,Gemini,50.0,50.0,large_dso
IC 447,IC 0447,,06:31:00.32,+09:53:50.8,25.0,20.0,,IC,447,HII Ionized region,nebulae,Monoceros,25.0,25.0,large_dso
IC 448,,,06:32:45.34,+07:23:19.1,15.0,10.0,,IC,448,HII Ionized region,nebulae,Monoceros,,,large_dso
IC 468,,,07:17:19.00,-13:13:07.3,,,,IC,468,Other classification (see object notes),other,Canis Major,20.0,20.0,large_dso
IC 1274,,,18:09:51.03,-23:38:53.6,20.0,5.0,,IC,1274,HII Ionized region,nebulae,Sagittarius,,,large_dso
IC 1283,,,18:17:16.85,-19:45:44.0,15.0,15.0,,IC,1283,HII Ionized region,nebulae,Sagittarius,,,large_dso
IC 1284,,,18:17:39.63,-19:40:19.3,16.98,15.14,,IC,1284,Nebula,nebulae,Sagittarius,,,large_dso
IC 1287,,,18:31:25.69,-10:47:44.9,20.0,10.0,,IC,1287,Reflection Nebula,nebulae,Scutum,44.0,44.0,large_dso
IC 1310,,,20:10:00.98,+34:58:08.0,15.0,3.0,,IC,1310,Star cluster + Nebula,nebulae,Cygnus,,,large_dso
IC 1340,,,20:56:08.25,+31:02:52.3,25.12,19.95,,IC,1340,Supernova remnant,nebulae,Cygnus,25.0,25.0,large_dso
IC 1396,,,21:38:57.62,+57:29:20.6,14.0,4.0,,IC,1396,Star cluster + Nebula,nebulae,Cepheus,170.0,170.0,large_dso
IC 1613,,,01:04:47.79,+02:07:04.0,18.32,17.14,9.54,IC,1613,Galaxy,galaxies,Cetus,,,large_dso
IC 1795,,,02:26:31.96,+62:02:29.9,12.0,12.0,,IC,1795,HII Ionized region,nebulae,Cassiopeia,20.0,20.0,large_dso
IC 1805,,,02:32:41.51,+61:27:24.8,60.0,60.0,6.5,IC,1805,Star cluster + Nebula,nebulae,Cassiopeia,60.0,60.0,large_dso
IC 1831,,,02:43:56.40,+62:24:41.9,120.23,,,IC,1831,Nebula,nebulae,Cassiopeia,,,large_dso
