Name,Type,RA,Dec,Const,MajAx,MinAx,V-Mag,M,NGC,IC,Common names,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number,Catalog,Name_MIKE,Name (no leading zero),Name (final),NGC/ID,Type_MIKE,Common Name,Mag,RA_MIKE,Dec_MIKE,Width ('),Height ('),IC_MIKE,IC name_MIKE,NGC_MIKE,NGC name,mike,Notes
NGC2548,OCl,08:13:43.18,-05:45:01.6,Hya,28.2,,5.8,48,,,,M,2548,M 48,,,48,Messier,M 048,M 48,M 48,2548,Oc,,5.5,08:03:48,-5.8,54.0,54.0,,,2548,NGC 2548,True,large_dso
NGC2632,OCl,08:40:22.20,+19:40:19.4,Cnc,108.6,,3.1,44,,,"Beehive,Praesepe Cluster",M,2632,M 44,,,44,Messier,M 044,M 44,M 44,2632,Oc,Beehive Cluster,3.7,08:00:06,19.98,95.0,95.0,,,2632,NGC 2632,True,large_dso
NGC2682,OCl,08:51:20.13,+11:48:43.0,Cnc,33.0,,6.9,67,,,,M,2682,M 67,,,67,Messier,M 067,M 67,M 67,2682,Oc,,6.1,08:00:24,11.82,30.0,30.0,,,2682,NGC 2682,True,large_dso
NGC2682,OCl,08:51:20.13,+11:48:43.0,Cnc,33.0,,6.9,67,,,,M,2682,M 67,,,67,NGC,NGC 2682,NGC 2682,NGC 2682 = M 67,2682,OC,M  67,6,08:50:24,11.82,30.0,30.0,,,2682,NGC 2682,True,large_dso
NGC2736,HII,09:00:16.94,-45:56:53.0,Vel,30.0,7.0,,,,,Pencil Nebula,NGC,2736,NGC 2736,,,2736,,,,,,,,,,,,,,,,,,large_dso
NGC3031,G,09:55:33.17,+69:03:55.1,UMa,21.63,11.25,6.92,81,,,Bode's Galaxy,M,3031,M 81,,,81,Messier,M 081,M 81,M 81,3031,Sp,Bode's Galaxy,6.9,09:05:36,69.07,21.0,10.0,,,3031,NGC 3031,True,large_dso
NGC3114,OCl,10:02:29.57,-60:07:49.9,Car,12.3,,4.2,,,,,NGC,3114,NGC 3114,,,3114,NGC,NGC 3114,NGC 3114,NGC 3114,3114,OC,,4,10:02:42,-59.88,35.0,35.0,,,3114,NGC 3114,True,large_dso
NGC3199,Neb,10:17:24.43,-57:55:20.0,Car,20.0,15.0,,,,,,NGC,3199,NGC 3199,,,3199,NGC,NGC 3199,NGC 3199,NGC 3199,3199,Nb,,,10:17:06,-56.08,22.0,22.0,,,3199,NGC 3199,True,large_dso
NGC3201,GCl,10:17:36.76,-46:24:40.4,Vel,9.6,,8.24,,,,,NGC,3201,NGC 3201,,,3201,Caldwell,C 079,C 79,C 79,3201,Gc,,6.7,10:17:36,-46.42,18.0,18.0,,,3201,NGC 3201,True,large_dso
NGC3228,OCl,10:21:22.24,-51:43:21.3,Vel,6.6,,6.0,,,,,NGC,3228,NGC 3228,,,3228,NGC,NGC 3228,NGC 3228,NGC 3228,3228,OC,,6,10:21:48,-50.28,18.0,18.0,,,3228,NGC 3228,True,large_dso
